event_id,first_z,max_abs_z,reclaim,side,trading_date
2026-02-20|above|1771607100,2.0252986405882036,2.0252986405882036,True,above,2026-02-20
2026-02-23|below|1771854900,-2.720865417915981,2.720865417915981,True,below,2026-02-23
2026-02-23|above|1771855800,2.977454175971444,3.015738002019349,True,above,2026-02-23
2026-02-24|below|1771940700,-2.000580676083275,2.000580676083275,True,below,2026-02-24
2026-02-25|below|1772028900,-2.6279230679940637,2.6279230679940637,True,below,2026-02-25
2026-02-25|below|1772030100,-2.191352336218589,2.191352336218589,True,below,2026-02-25
2026-02-25|above|1772038200,2.039175651823626,2.039175651823626,True,above,2026-02-25
2026-02-25|above|1772039100,2.0874598189469173,2.0874598189469173,True,above,2026-02-25
2026-02-26|below|1772119500,-2.2872894835559303,2.2872894835559303,True,below,2026-02-26
2026-02-26|above|1772120700,2.002182621925354,2.2579692337613775,True,above,2026-02-26
2026-02-27|above|1772205000,2.020994852478881,2.020994852478881,True,above,2026-02-27
2026-02-27|above|1772208000,2.3760645759545516,2.964770988073832,True,above,2026-02-27
2026-03-02|below|1772459100,-2.005592394674692,2.005592394674692,True,below,2026-03-02
2026-03-02|below|1772460000,-2.669070360951413,2.669070360951413,True,below,2026-03-02
2026-03-02|below|1772460900,-2.0043616542103484,2.0043616542103484,True,below,2026-03-02
2026-03-03|below|1772547600,-2.2314794692435838,2.2314794692435838,True,below,2026-03-03
2026-03-03|below|1772548800,-2.2224652326587653,2.2224652326587653,True,below,2026-03-03
2026-03-04|below|1772632200,-2.106388526443774,2.7548822612485253,True,below,2026-03-04
2026-03-04|below|1772637000,-2.074618580502464,2.074618580502464,True,below,2026-03-04
2026-03-05|below|1772723100,-2.5637630667674203,2.5637630667674203,True,below,2026-03-05
2026-03-05|below|1772727600,-2.2178461961492846,2.2178461961492846,True,below,2026-03-05
2026-03-09|below|1773060600,-2.132318320819558,2.132318320819558,True,below,2026-03-09
2026-03-09|below|1773063600,-2.596153181785274,2.596153181785274,True,below,2026-03-09
2026-03-10|above|1773156600,2.0805168241387495,2.0805168241387495,True,above,2026-03-10
2026-03-10|above|1773157200,2.0042935969168023,2.0042935969168023,True,above,2026-03-10
2026-03-11|below|1773236700,-2.0996774565532283,2.0996774565532283,True,below,2026-03-11
2026-03-12|above|1773319500,2.3745005400772725,2.3745005400772725,True,above,2026-03-12
2026-03-12|below|1773323100,-2.089129529764185,2.089129529764185,True,below,2026-03-12
2026-03-13|above|1773405900,2.3798910950047563,2.3798910950047563,True,above,2026-03-13
2026-03-13|below|1773408300,-2.136130943890399,2.3787595519270015,True,below,2026-03-13
2026-03-13|below|1773411000,-2.892435020929787,2.892435020929787,True,below,2026-03-13
2026-03-13|below|1773412500,-2.136893044830555,2.136893044830555,True,below,2026-03-13
2026-03-13|below|1773413400,-2.202025861658231,2.202025861658231,True,below,2026-03-13
2026-03-16|above|1773668400,2.136578285916655,2.136578285916655,True,above,2026-03-16
2026-03-16|below|1773671700,-2.4430809802532525,2.955520185808075,True,below,2026-03-16
2026-03-16|below|1773678300,-2.140360367903378,2.215972847518046,True,below,2026-03-16
2026-03-17|below|1773751500,-2.2380621166549157,2.2380621166549157,True,below,2026-03-17
2026-03-17|above|1773754200,2.716855867357431,2.716855867357431,True,above,2026-03-17
2026-03-17|below|1773761100,-3.3890377104932496,3.3890377104932496,True,below,2026-03-17
2026-03-20|below|1774013400,-2.1388031538445675,2.1388031538445675,True,below,2026-03-20
2026-03-20|below|1774014600,-2.579725894307399,2.579725894307399,True,below,2026-03-20
2026-03-20|below|1774015800,-2.192523198387824,2.192523198387824,True,below,2026-03-20
2026-03-23|above|1774275600,2.1190571296005696,2.1190571296005696,True,above,2026-03-23
2026-03-23|below|1774281300,-2.4338576679914876,2.4338576679914876,True,below,2026-03-23
